"date","hour","Total_users","Temperature","Precipitation","Wind_Speed","Humidity","DP_Temp","Solar_Radiation(MJ/m2)","Snowfall","Visibility_10m","GTemperature"
"2020-01-01",0,676,-6.5,0,0,38,-18.5,0,0,2000,-2.8
"2020-01-01",1,988,-5.9,0,1.7,40,-17.3,0,0,2000,-2.4
"2020-01-01",2,905,-5.7,0,0.1,42,-16.5,0,0,1988,-2.4
"2020-01-01",3,537,-5.6,0,0,46,-15.4,0,0,2000,-2.7
"2020-01-01",4,406,-5.4,0,0,50,-14.2,0,0,1908,-2.5
"2020-01-01",5,301,-5.2,0,0,55,-12.8,0,0,1999,-2.2
"2020-01-01",6,288,-4.8,0,1.9,58,-11.8,0,0,1984,-2.1
"2020-01-01",7,350,-4.6,0,2.1,62,-10.7,0,0,1501,-2
"2020-01-01",8,442,-4.6,0,1.8,64,-10.3,0,0,1684,-1.9
"2020-01-01",9,343,-4.3,0,2.3,70,-8.9,0.04,0,736,-1.6
"2020-01-01",10,360,-4.2,0,1.9,76,-7.8,0.17,0,418,-1.1
"2020-01-01",11,545,-3.4,0,1.5,75,-7.2,0.41,0,613,-0.4
"2020-01-01",12,686,-2.2,0.1,1.7,72,-6.5,1,0,1117,-0.1
"2020-01-01",13,866,-1,0,1.6,67,-6.3,0.93,0,1209,0.4
"2020-01-01",14,1054,-0.4,0,1.2,65,-6.1,0.89,0,1226,0.4
"2020-01-01",15,1152,0.3,0,0,62,-6.1,0.68,0,1179,0.8
"2020-01-01",16,1270,0.3,0,0,64,-5.7,0.32,0,1137,0.1
"2020-01-01",17,1273,0.2,0,0.9,65,-5.6,0.09,0,1128,-0.2
"2020-01-01",18,1094,0.1,0,0.8,66,-5.5,0,0,1084,-0.1
"2020-01-01",19,981,0.1,0,0.3,65,-5.7,0,0,1055,-0.1
"2020-01-01",20,891,0,0,1.7,67,-5.4,0,0,1005,-0.1
"2020-01-01",21,925,-0.4,0,2.5,71,-5,0,0,886,-0.3
"2020-01-01",22,908,-0.9,0,1.5,71,-5.5,0,0,897,-0.3
"2020-01-01",23,771,-0.9,0,1,70,-5.6,0,0,895,-0.3
"2020-01-02",0,804,-0.7,0,2.1,70,-5.5,0,0,897,-0.4
"2020-01-02",1,629,-0.7,0,2.2,72,-5.1,0,0,857,-0.3
